x,y,x_obs,y_obs
74,88,101.19267863235545,78.14453471650698
76,89,81.62786274998727,96.66829340462968
77,91,57.92409442022063,120.62532516658705
79,94,106.46596382252774,106.55203743729517
82,97,86.43152821511264,97.36725886800643
85,100,63.20641174464875,131.30567530221464
88,103,75.72081955380085,64.68433842731989
90,106,70.31310145494083,141.86638454260043
93,109,85.87858708996436,67.67822109156631
96,112,53.11422404067923,91.64751200464589
99,117,126.50515666210839,119.77786953066527
102,121,80.00212270337204,139.2298861515344
105,126,94.26646314786038,102.75612245602824
108,130,92.73732611081145,160.19752691057408
111,136,121.60359424674829,168.78270219180192
114,140,158.40265105043198,164.78243748812844
118,145,122.50014947726375,140.7369067699705
121,150,126.88656349508635,172.14297019447002
124,155,186.86518344173825,141.6454575588901
126,160,131.23023616647583,127.94111532539387
129,166,96.11023971242108,155.1735598737991
133,172,122.38330333756882,173.30446534845498
136,178,135.45817600592434,188.2276497388605
137,183,142.42579184311268,186.8828450178473
139,190,156.68724603508264,148.38521787788315
140,196,133.6563780592701,242.16919885220588
143,202,148.7463426694155,172.48236925701954
144,208,138.39300742369554,214.70930053175724
147,214,128.17976537401043,220.35871526791757
149,221,159.82185133441266,182.6587745193043
151,229,130.4488195959539,252.09184570075757
153,235,115.33571862011411,220.59372530321457
156,241,144.39554639871645,239.78563439013655
161,246,198.32487284834718,261.80490388211115
166,251,178.7508999647623,264.33147306313566
170,256,179.55770425839594,250.76377353029181
174,261,186.85750224530682,237.75927927330403
179,265,182.9654419697129,258.5702307705337
184,269,187.2626919118339,255.86512492327824
191,272,193.59959948084207,276.43408422730397
199,274,190.86940210228775,254.59809656129852
205,276,214.7232069906053,302.48532752601494
209,277,199.4095301421271,232.70833202213944
212,279,149.77268638099102,258.469750670041
216,280,191.83533749927685,251.6636560746437
224,280,231.67708033224392,267.3698983184982
233,280,222.20961688463476,272.9353551410906
240,282,217.51083342525948,249.79659832886895
245,283,270.6872695333172,273.5694896134158
248,283,269.62215226926776,274.3300841859341
254,283,259.2173818377364,295.07432513961953
261,284,256.538621453238,281.19245608342277
269,285,284.26981677257845,283.66597935460356
275,286,252.69201570507178,291.68951382007447
278,287,285.6643008534355,297.23987001271814
282,289,239.73620444990104,286.18569183510857
285,292,271.515660945541,311.05696484863995
290,293,260.0905333819457,325.2425363375797
295,295,344.2355367755433,330.78335275126426
299,298,337.5590166642399,319.9381651202514
303,301,280.12067031377103,305.551197128571
307,304,360.6779722798899,298.6599668139293
310,307,265.77680041327676,268.92381431070385
314,310,332.9998383163776,300.1852568468023
318,314,337.227975863582,295.5073516713548
322,318,325.39956013973807,335.8167242025853
325,322,327.4797761630506,289.5004370249321
328,327,329.4892686397138,327.0517497238787
332,332,287.5480988827509,319.222399293257
335,337,367.3447875321576,279.7695894283458
338,343,331.8486431495946,353.34373918910836
341,348,373.9105112338267,339.04402337285467
345,353,270.0973793546598,365.8917561023115
349,360,328.4981670337058,349.879310607925
353,365,388.88202450602455,368.50200508622993
356,370,371.59330640851175,354.0921472766262
359,375,324.9554725839317,402.07865077520177
365,382,356.7643581061306,371.9844359544091
371,388,329.9959378607779,399.5337516089642
376,394,413.752152861626,391.13375648480167
378,398,370.0226460994324,379.3916592848117
380,401,371.38258296131823,366.3385492537051
383,405,377.3402458559392,394.87349338064337
388,409,362.98446276738775,397.21785256898806
394,413,418.8787770104159,393.8583933410174
398,417,402.5637172134712,404.4835656837492
403,421,404.967739374194,399.72343910446057
409,424,418.1190249389673,413.64079548169605
416,427,395.4360114771875,427.17286780037927
425,430,436.69196190637297,457.3316345776342
431,433,474.1128649994005,446.6130671046718
437,435,409.54098865888955,460.5002557145292
443,438,509.69599938023464,438.6831606309768
452,439,469.0565177028605,432.0794428628106
462,441,443.58428751448656,423.95397962584343
470,442,476.62674537811426,413.52029095847587
477,444,474.5362365686662,435.55566070609353
484,445,485.2576166060436,447.286845856553
493,446,466.6376804700911,437.3379412734005
503,447,556.440201114609,386.84326698047937
511,447,506.6857078626835,407.43434530944114
518,447,547.7727519948817,472.2603436555173
521,447,541.8191357709039,462.9318795249574
526,447,523.0068306740815,441.246695489394
534,447,529.5339764528474,462.45831549222453
545,446,558.91322038173,472.2820579441978
552,445,520.931271768218,454.0374283953569
559,444,563.2507702558999,385.2563471214526
564,442,557.911369295559,460.01672916626194
571,440,567.3197941530452,428.2188852151185
580,436,574.3583372595073,401.80124175861266
587,434,612.0310909454539,465.0504897584353
593,432,625.2616037772189,443.70678024879317
597,430,577.1388406273908,431.6905663972425
601,427,602.5591046700058,443.2979635576296
606,424,619.594186735594,440.12703894149
611,421,625.0751353622666,452.3343901869511
617,418,626.125039038373,404.8478886126185
620,415,643.4119424109032,483.33295044381765
624,413,626.0366746064449,395.62828307447194
629,410,582.6229567791862,386.56592544048635
632,407,641.0927978753867,382.6896081937136
635,404,596.5233543477921,368.00569298872324
638,400,632.5256031467602,392.8033522426556
641,398,676.7070771415365,402.55695194951693
643,395,649.2850603202095,385.767849869463
645,392,654.5323268431811,380.3147373862448
647,389,662.1864487002385,376.9385359985221
648,385,597.232905715229,400.8371721380573
649,382,657.5470926375181,385.9286826947851
650,379,667.2920724865218,417.5255864686079
650,376,629.6780246134856,393.0977605813758
650,372,650.4039543578779,349.98385218998703
650,368,700.0752259737632,390.00406722461395
650,364,644.6696190683346,355.4479180256121
650,359,662.1460856200097,355.6344731466435
648,355,620.3358250293971,342.5067609415067
647,350,639.3980720333026,363.844191939111
644,346,630.7120247549132,364.50430819596147
642,343,669.7783098265222,298.03337963425867
639,339,571.7291475679685,329.41694179891863
636,335,657.2359689940392,364.71735808949774
635,332,621.3828550600355,350.5350827092975
633,331,624.0684629788502,311.1248081113194
632,328,652.898820074683,351.2966904857684
629,325,633.1296679314821,342.8328730181388
625,322,644.6897611307413,321.91471433632955
620,318,633.7092368469448,299.62433244146735
617,315,620.8870737167753,301.0207420984836
614,313,595.038338642363,304.0072970562685
609,310,593.1038058412736,333.2203006643984
605,307,600.0774414366865,323.34150959946936
599,304,604.4523871490701,323.77358359213997
593,301,543.1216526786067,315.51869481155694
587,298,611.4945243251336,328.7983922071163
581,295,528.4110555355619,302.372065066348
573,292,555.8862348214054,268.1669506081519
566,289,602.0930263886862,314.1418843164718
560,285,525.3150988895046,296.5210886671918
