x,y,x_obs,y_obs
23,251,3.2205316659147236,229.22158958408465
25,254,25.56203230383582,285.2740298138325
27,258,43.630998738838535,241.70555717623122
29,262,6.611200847518074,240.35537640461445
32,268,-7.907306861223709,246.8019985715665
37,276,5.149053231912703,323.99164337051775
44,285,30.147747988344065,261.08328928121875
50,296,59.453383935300785,285.9836865591467
57,306,-3.065621196981276,298.25038478088703
65,317,51.01961979469557,319.80677356363975
74,328,20.780987353082992,362.6600600288232
85,337,73.98540476019802,366.65757865134486
92,344,83.5229174941358,394.16798307667244
98,348,106.99030071574695,336.5568849436167
102,350,91.7504193746567,344.0954545005096
104,350,119.77244091937621,318.0256729931527
107,351,90.83705844196923,330.82178335272505
110,351,89.8899826403466,344.1489509023526
112,351,128.45394227795103,395.43450899812194
115,349,83.13748039983803,390.965066206007
119,343,130.87937589736626,349.06820981019496
125,337,101.56267688785113,366.08892843977134
131,330,141.6647630788317,271.43316477323043
136,322,175.11751196156177,316.0187195423082
138,314,126.03094878013391,315.3863199666792
140,306,139.97227632547674,304.0464990370415
142,298,155.36549135697877,321.57598685470225
143,288,148.02256049012558,293.40195509724805
144,278,137.59544441225117,285.3986135820089
145,270,133.942883444952,298.38287187365245
145,260,103.39018835018193,233.78508385807464
145,249,172.94637683097042,232.95881376368962
145,237,139.40139364297886,265.3488342275305
145,222,136.1693478245229,235.20640653356656
147,209,206.03505578341472,238.0302214656558
149,199,169.72625438233925,193.76604883355827
152,189,203.62648808002504,227.30880526478697
155,179,150.33299551434925,162.71308488138365
158,170,130.69247075142306,124.38450061696895
164,162,215.18603434940417,203.9331947089712
172,153,149.6589413448083,143.04552006885217
178,148,187.59095278013086,150.2182697748655
185,143,186.77821992953307,143.8098757304828
191,141,151.2739888881127,157.67518616205717
200,140,202.4408152274651,117.51060059942586
206,140,228.03276737615607,158.0279620155517
215,143,204.54568607305418,149.22596379560187
224,151,235.51240880281958,158.07959262418947
230,162,250.75449171463694,116.516400385199
235,175,239.70790743912022,166.3692005433292
239,188,256.07743082167804,161.32069189398808
242,200,239.5731345602817,252.8116773664271
247,215,215.7179052037916,182.22280339106493
251,232,269.45866349574305,251.80260013395613
253,249,217.40152940703575,276.61823014410965
257,266,195.32545308635304,258.0246516280405
261,280,233.34582569228598,304.650586418406
266,293,292.1042096922532,254.05769459249547
271,308,272.620341905204,302.5936609047328
278,323,281.313074185738,301.64356297545913
284,335,272.7132278470645,301.9857865544032
290,345,290.74635994039846,380.40750877152607
296,352,325.44798157821305,364.1836311534499
302,357,305.6636361395957,360.1319787704832
309,360,298.0802376821703,407.51075666919667
317,361,314.66920388913053,345.46839928118726
322,361,319.81795091954086,385.1814125487639
327,361,335.9324235670171,361.4764133794345
332,358,295.1438689985307,348.4784704390962
340,353,348.2667975748626,338.8839806865107
348,347,342.0937694014113,380.78226378709076
356,340,414.32246963370056,361.3456239301503
361,334,370.5659369951907,324.74083436600824
365,326,386.302986098379,313.14580291918594
367,317,359.91605886054396,332.57918571595707
368,303,364.5012957394073,291.950949789651
368,290,336.7110158986818,280.2295175351748
368,277,328.39893595018617,310.6142885501414
368,264,371.0491169957537,207.66154796371168
368,249,311.24414812195437,254.5943862004474
368,234,348.1673181510263,207.85676591310408
367,217,359.8656125890486,222.93398554874483
365,202,392.83756068960986,195.0368066174289
364,188,350.94549246960804,219.49820182859028
365,177,409.60765111489013,194.5948696821221
367,166,362.8706582938667,118.41358973483904
371,156,368.673363367444,149.83035108250974
375,147,380.85653734902024,151.1744097496946
380,140,399.5178317542579,141.85584614559204
386,136,419.05067513975,140.19996830911973
392,133,395.71753369914035,109.53509062654118
401,130,408.9914290343655,112.0003657368635
409,130,428.5987316338704,132.33203851348443
416,130,416.59713669606697,127.51240963491789
423,131,480.8239485688304,121.93805966024297
429,136,465.2583259793151,138.77466091041074
436,143,439.87334050459054,162.3636072035331
444,153,483.00469804820364,154.42225407319643
452,164,435.2243755311196,134.19652266582676
460,179,464.1817001316656,217.5684903737847
466,195,492.6092160540263,165.47060114077948
470,212,507.02692742080785,229.96779943341366
473,229,485.7500225741786,244.83233344890374
476,250,502.21058452837565,227.76447857211988
478,269,443.82601311017766,233.76211682799777
481,286,501.6424128825449,278.4922402568994
485,304,487.68681787654793,293.7630751764953
489,321,528.2075147387927,334.52637411396444
495,335,529.4774054698429,335.1456630202618
502,347,498.14753554829986,363.78017036991895
508,356,524.4640041314483,344.62502857269146
515,361,482.1519207979782,325.8243564571734
521,365,516.0490887164489,369.73928173688324
527,366,528.1791710581505,364.5340580135475
532,366,561.0927762481999,381.97302081165327
539,366,524.2011127808364,353.55434678511864
545,362,521.6720212651835,330.4183122307106
551,356,533.0787497680898,399.07426635892557
559,348,553.1449198525428,359.9265154390035
566,337,517.5335069850095,353.52349752229225
570,327,548.8310941948484,367.2671486892139
574,314,588.670809483419,310.72874976543994
575,300,551.8544400323632,280.9179404067524
576,286,575.7171765222097,278.9551836267164
576,270,592.7695782034115,316.13310311202883
575,256,540.3567242265767,263.2972587502927
572,243,578.9127339631265,271.3353041662476
569,229,564.5314283662071,262.05703497863584
566,213,566.1848494853377,181.0317576613755
566,201,556.6085502668592,201.55254177883933
567,187,607.9993367415597,203.30935627488932
568,175,555.6584774816392,207.6469345836827
569,164,545.320217377082,157.42085697778947
572,154,581.8156433804718,148.02219557609652
576,145,560.1091030137928,112.26819520785592
582,136,597.1046800544822,162.49314049463152
590,130,586.7413281891552,81.9959052154397
596,127,581.9827722696092,131.75003372327922
604,124,621.4968621138022,120.06086200940499
611,123,575.4850290280748,92.38766446715891
620,123,606.0987197159744,108.03663205646045
628,124,589.0301844556786,110.03551275023369
635,133,644.2349500145871,141.197073949409
643,145,616.6429657037778,190.68208423329335
650,159,632.0712966156088,138.24846692924123
656,173,658.1865731836065,194.93205505369363
659,190,629.0338979175925,179.54400443897921
660,209,640.5103791033409,244.8397266060679
660,232,679.3823590027598,246.88916090918585
661,250,668.0431136210788,272.28873393353894
661,267,654.5638070387324,260.24453495688647
