x,y,x_obs,y_obs
66,109,47.75085859969333,128.880725123861
69,115,78.16860348367682,178.88748354368968
70,119,72.00107050113763,118.67511942567134
72,123,60.75148540017345,130.57685527228816
75,128,95.19366430521733,136.72691450789281
77,134,98.86077998365067,176.6687683112568
81,140,93.42541220673182,107.47122031706093
83,146,112.34227260550858,139.36427842470195
84,152,86.58186722422005,188.59174633785952
86,156,82.88598101802852,134.01262362345537
89,161,94.57833549763617,163.14784217344035
92,167,88.67716480950607,204.94762900403228
95,173,116.45916089914158,148.75825192534506
99,178,64.81446949731165,156.26669622076966
100,182,89.37424132280748,221.04874130849163
103,185,101.53005942639864,175.07497793531323
108,191,120.71892971622285,188.79246355398405
113,195,103.18760355516324,183.89967151033574
117,200,160.32607329057817,222.2607420537989
122,204,132.99094190845472,209.60965570642932
128,209,139.74246342388213,224.20413660073996
134,212,139.46522358880927,206.9284074183527
138,217,117.75849156143728,199.43395056107028
142,221,158.25144564740037,201.00457867550926
146,224,201.36748045134254,200.5803341284714
151,229,120.0581105763538,255.35314254920212
157,233,185.11028856407427,205.44037257065582
162,236,159.500337223775,258.63117439864453
167,240,141.81492159028994,212.5217227982237
171,244,143.67142023889866,241.01572612797864
177,248,145.35031060355584,278.5867844032191
185,254,173.36754665588848,274.0263764995691
193,260,214.45071145804678,259.41228774430664
201,265,206.16367994560065,277.34922732020516
207,269,223.08194020630893,260.1814508150911
214,274,213.10440739355738,253.5169780178786
220,278,198.35247960499885,240.67429030341594
226,284,203.609247817414,322.4117257646268
231,289,207.05730937818333,274.00861195086765
237,295,269.66905673493864,333.3755574680256
242,300,240.6222978908504,312.5513410484224
247,308,185.95987934408157,311.3715891746527
253,314,222.60105711495584,323.35211194434754
259,321,256.92822830638363,314.64278106065
267,329,246.98913125073202,307.1748179667833
272,333,263.00272140280697,306.04064834458757
278,338,280.9211179751845,348.7688867229812
283,341,252.68874400815955,412.77912976563164
288,345,266.04558164604447,311.9395788287772
294,348,315.40074918295556,330.6376412815781
301,351,297.5078836579366,312.4900997143835
309,353,316.15519840501315,348.137015569911
319,354,331.09005700181956,409.00321232132563
328,356,360.61772652079037,328.3300838846807
336,356,358.36148436754064,371.6630296296651
342,358,315.24144441599844,351.96703017253554
347,359,315.76303486598215,336.6770293818455
352,359,349.6441050537533,366.5594511340411
363,359,343.6937782343959,356.53997565991625
374,359,364.6149417436126,347.5093382875945
381,359,375.3433547196121,365.7522391591336
385,359,361.1870925364339,408.4447088662831
390,359,359.0675087727035,320.86242753404593
396,360,425.7447237877369,379.1487210558023
404,362,378.19946865776126,395.7837011376492
413,364,423.3692107504258,372.0153700530646
420,366,434.95919916895724,386.44655402413457
426,368,441.5547579785862,384.4061537432781
432,370,417.4037352988759,363.71892473123984
441,371,474.77146099729123,342.09052334961103
452,374,421.24895349467056,372.47530188757463
465,376,502.52697610342744,336.9929051950504
473,378,436.296922716719,349.8421071942565
480,380,487.22938730469326,398.6630474785373
486,380,471.5264333873735,367.4000258207189
497,380,510.4665988999805,417.15942035739005
510,380,561.816182182774,418.0900014711463
528,380,560.0516015972319,337.30473403656276
541,380,576.117497700453,401.30842681084704
550,379,576.7896487120145,405.4573452705701
557,377,524.49186411662,394.75440829126256
564,376,571.4360489516297,396.7034513269483
571,373,555.2294054377995,377.84724715857124
582,370,604.2061625885126,338.63030566923385
589,366,577.2734667927546,360.4598517774035
594,361,653.5098206452279,353.365776340421
600,355,591.1223054201562,348.83405776762453
605,348,595.0253561261007,357.09591226580596
610,342,622.4745051736882,342.60117646483417
614,336,589.5398063939349,310.7624917249447
615,330,631.8071288758518,315.4417414935898
616,323,596.4290791604774,322.5435158262282
616,314,587.7224198987976,354.99904711806465
616,308,588.0424710113873,342.6229420360235
615,301,636.4413564156629,302.7860183545935
612,294,624.5165719114567,317.0496215156422
609,287,612.9655086832659,297.39812883507267
606,279,652.7509612797653,275.36952226101357
602,273,606.4634944936985,293.74817430849276
599,268,616.748335771549,247.4116618724624
595,263,531.3624256761447,256.10955520742243
591,257,572.4135757345381,233.0651465737241
586,250,628.2531821906136,268.9333337200898
579,242,580.2338463298009,236.69504713167225
572,235,559.2410556995256,262.2295668760096
564,226,591.6206061816741,235.28527857017474
559,218,576.893023199469,237.25776449086072
557,209,557.5708723682477,195.2798366183594
556,202,559.6166520747405,203.56640017836122
555,193,530.3553412505988,168.3312726857996
555,187,581.9407740795788,200.92289136743807
555,179,596.3943435055803,165.65064031639093
556,171,528.1464427343503,199.81475311722852
558,163,584.5303672673375,125.182149962905
558,155,583.4379302757388,153.86552228687606
558,148,536.082351884368,130.86332436538794
560,139,561.7448716233589,112.8520298021125
561,131,529.607900804966,156.0905665779076
561,125,538.0580962815422,132.943597043836
559,121,575.9580102741658,145.39527470707247
554,116,584.2167870708505,123.51688027986397
547,111,521.6394467455771,138.74477573401475
541,105,589.9475310988294,91.40922279381942
534,101,505.7676086035966,88.77508750120705
528,96,494.79024180432,123.83493462353883
523,92,519.6995529205163,49.07293511455535
520,90,483.9984151329959,55.76743815055349
519,89,515.5365864646636,83.39026961222785
